silver-infovis-topics--userA.txt,lda_20_0.001_0.001,Score
A05,9,0.0018743027939558902
A05,8,0.11477705567204916
A17,19,0.06173141498069003
A17,17,6.619331918538648E-4
A17,18,0.010991142120321854
A17,15,0.0037427420414194845
A17,16,0.021293237850849592
A17,13,0.045244864785928984
A17,14,0.0019772658749678327
A17,11,0.04894449629465015
A17,12,7.894014843190048E-4
A17,3,0.015610877844770117
A17,2,0.0017145979015126028
A17,1,0.01005423902446992
A17,10,0.9750456425865554
A17,0,0.002701923537037693
A17,7,0.024311971333704187
A17,6,0.006433241162550206
A17,5,0.0051128387524217
A17,4,0.015050177886606357
A17,9,0.00961756596660922
A17,8,0.009367563899848289
A04,19,0.0016776506265199487
A04,17,0.0014170789249932528
A04,18,0.02895757699264744
A04,15,0.0015820735631249757
A04,16,0.05289093238418821
A04,13,0.004310490095350553
A04,14,0.12781423698440902
A04,11,9.414897618234656E-4
A04,12,3.568193858284201E-4
A04,3,0.004926756959598996
A04,2,0.0010674284118977792
A04,1,0.003856291515555272
A04,10,0.0045969523900519175
A04,0,0.005095999939130498
A04,7,0.006916953529027123
A04,6,9.266256812179087E-4
A04,5,0.11792538505205788
A04,4,0.0039084872612101165
A04,9,0.005877990340760924
A04,8,0.055243539721080495
A16,19,0.007365197066854487
A16,17,0.9411412038848518
A16,18,0.020472863055792788
A16,15,0.011007603267050964
A16,16,0.022195841180461452
A16,13,0.011175474647176458
A16,14,0.001537599758997874
A16,11,0.002580367846619301
A16,12,0.007586233429451768
A16,3,0.007055712333855814
A16,2,0.004846671862361695
A16,1,0.32718797231744357
A16,10,0.0023806976362170788
A16,0,0.0015694167417432327
A16,7,0.009848805016247634
A16,6,0.011381705885929827
A16,5,0.006809742178775582
A16,4,0.031218341393602893
A16,9,0.0038489523936069536
A16,8,0.007155362177426922
A03,19,0.3515078511942117
A03,17,0.011904686396009407
A03,18,0.15904089547480604
A03,15,0.014638902107447529
A03,16,0.13927608757832774
A03,13,0.011115087627480494
A03,14,0.03629254651268191
A03,11,0.00425843695983188
A03,12,0.1053946926024736
A03,3,0.008079718670954847
A03,2,0.01017974756955946
A03,1,0.008507999425751776
A03,10,0.005739673856881679
A03,0,0.007215415503815446
A03,7,0.007742692481799347
A03,6,0.018937135779517958
A03,5,0.017346510259411634
A03,4,0.03361411764934113
A03,9,0.02800141968900179
A03,8,0.010955751153361783
