silver-infovis-topics--userG.txt,lda_50_0.1_0.1,Score
G01,10,0.001854352915543754
G04,35,0.06256956551334537
G04,36,0.0017316155350871943
G04,33,0.1669119216396306
G04,34,9.051877141771777E-4
G04,39,0.002504787964755115
G04,37,5.448675229286466E-4
G04,38,0.0017241015462867188
G04,43,0.004188549722633241
G04,42,0.0016802894720044776
G04,41,0.0027997722427872767
G04,40,0.003013449837292968
G04,22,0.009465539148528126
G04,23,0.001655663409296841
G04,24,0.003087623508589361
G04,25,0.37546887473800394
G04,26,0.029501506827292225
G04,27,7.939621773231719E-4
G04,28,0.001134779293943431
G04,29,0.0012830690091750934
G04,3,0.0010710743627507526
G04,2,0.0026656291272254876
G04,1,0.001711301260704049
G04,0,0.006221380112080052
G04,30,0.0010928189686168015
G04,7,0.0012901475770251318
G04,6,0.08937133769020686
G04,32,0.00498624191395173
G04,5,0.03593153827167018
G04,31,0.0013113300725502315
G04,4,0.001216326083731948
G04,9,0.026819438639051823
G04,8,0.004569330812774404
G04,19,0.0018416096609218363
G04,17,0.052811365393689746
G04,18,0.11088509410490087
G04,15,6.184630150411474E-4
G04,16,0.19283300625586017
G04,13,0.0010875130643446245
G04,14,5.550295897400267E-4
G04,11,9.516932112591329E-4
G04,12,8.757822632786912E-4
G04,21,4.5685511137142314E-4
G04,20,0.001165361103996598
G04,49,0.003280426821665818
G04,48,8.870988913840675E-4
G04,45,0.010608781316880115
G04,44,0.009848895777532406
G04,47,9.95753901491854E-4
G04,46,0.0035911250708142097
G04,10,0.0019809732617234624
G13,35,0.0017804384454076139
G13,36,0.10325894371263918
G13,33,0.005746276228826908
G13,34,9.214372708277065E-4
G13,39,8.509332431342586E-4
G13,37,0.001193149703701134
G13,38,0.0036904712625853353
G13,43,0.0030079536654602093
G13,42,5.203949226550887E-4
G13,41,0.005451485732788408
G13,40,0.01485114669065784
G13,22,1.3334446546099134E-4
G13,23,0.001181087046860423
G13,24,0.0047651380730872606
G13,25,0.0023197326604287908
G13,26,4.8100662955289584E-4
G13,27,5.822104237074614E-4
G13,28,0.002154572942733933
G13,29,7.240250825719047E-4
G13,3,0.0010268545482658303
G13,2,0.004078045968987571
G13,1,0.0025457155010314226
G13,0,0.0014063568302599512
G13,30,0.19824716952577193
G13,7,0.02155107605190946
G13,6,0.002269206006992392
G13,32,0.007874481023124009
G13,5,0.0021608218452990355
G13,31,0.004784487510867785
G13,4,0.0010363661592211581
G13,9,0.07915244444715241
G13,8,0.0012432440467850063
G13,19,0.0027680028730988665
G13,17,0.006608705178917476
G13,18,0.0026692718406909023
G13,15,8.929773110575534E-4
G13,16,0.08300432237028331
G13,13,0.0019577169829863303
G13,14,4.822591051418558E-4
G13,11,0.003531395097523134
G13,12,0.020639496698403266
G13,21,0.0015403109314524558
G13,20,0.0013045467801429229
G13,49,0.003026951819472453
G13,48,0.0015931290457364643
G13,45,0.07599126753310696
G13,44,0.0011507540715163095
G13,47,0.001189885134083542
G13,46,0.7505761234366243
G13,10,0.0022359740213845373
G03,35,0.4886791505957465
G03,36,0.001945455762425452
G03,33,0.003725149106620985
G03,34,0.0052553013727279
G03,39,7.304353903510927E-4
G03,37,0.0017329331847717555
G03,38,0.013317527510724469
G03,43,0.007482038962543459
G03,42,0.009819037881352638
G03,41,0.001451990842422351
G03,40,0.03370086299298733
G03,22,0.001789702370855476
G03,23,0.0019393226826175214
G03,24,0.00343928665279427
G03,25,0.001370201997480604
G03,26,5.983385713563454E-4
G03,27,3.69600073954435E-4
G03,28,0.14173247049900387
G03,29,0.001992784534890547
G03,3,0.0010077333770763086
G03,2,0.48213995083199584
G03,1,0.001434856972702771
G03,0,9.538209889049299E-4
G03,30,0.9519460300965826
G03,7,0.04262320522067817
G03,6,0.005587155055668473
G03,32,0.005773554681427148
G03,5,0.0035710929570956893
G03,31,0.004644094508915353
G03,4,0.004233988239863753
G03,9,0.0049206219162694145
G03,8,0.0017830824544933668
G03,19,0.0017118960746175724
G03,17,0.0857423040427895
G03,18,0.008088660025131231
G03,15,0.004072065315458153
G03,16,0.1743851308367481
G03,13,0.003797158743464413
G03,14,8.922737457976409E-4
G03,11,0.1750944658513413
G03,12,0.001551451560152501
G03,21,0.0017203782745441698
G03,20,5.442909901480621E-4
G03,49,0.002121982379654615
G03,48,0.0017076188858237108
G03,45,0.13900427947306365
G03,44,0.0028944778205382826
G03,47,0.0023004755309397056
G03,46,0.009092021906538019
G03,10,0.0022898293155254926
G12,35,0.001818979086681375
G12,36,0.0024734951257608527
G12,33,0.0014640458995879649
G12,34,0.0010814253213578095
G12,39,5.244235765556813E-4
G12,37,0.0026127728224495388
G12,38,3.059742549848451E-4
G12,43,0.0022426507995285936
