silver-infovis-topics--userB.txt,lda_50_0.001_0.001,Score
B08,40,0.0041474449322607895
B08,22,0.022265361350916037
B08,23,0.983807387765786
B08,24,0.0030569530639209643
B08,25,0.08531376245475077
B08,26,0.1702254655239475
B08,27,0.7368689128029031
B08,28,0.04354279384390843
B08,29,0.001551819072972607
B08,3,0.1947220991922594
B08,2,0.0022205054697426057
B08,1,0.0032079483614867914
B08,0,0.013324252792505431
B08,30,0.022684488026341137
B08,7,0.02566494721236465
B08,6,0.0016597215606426214
B08,32,0.0021483723712121673
B08,5,0.21337053211139143
B08,31,0.06517916769363398
B08,4,0.8239393291948259
B08,9,0.0051901170703003785
B08,8,0.0062067668308437764
B08,19,0.005176244369118283
B08,17,0.005790306966077537
B08,18,0.0023231799198237565
B08,15,0.017879874119573418
B08,16,0.08868779822889286
B08,13,0.01218859511679553
B08,14,0.008564319866245004
B08,11,0.148637130069913
B08,12,0.007197984445755006
B08,21,0.0040908880639377865
B08,20,0.06700181937310964
B08,49,0.2548604873584847
B08,48,0.007965885317015864
B08,45,0.0061178776144684794
B08,44,0.007084494855122087
B08,47,0.0291265111938822
B08,46,0.005077407410963014
B08,10,0.03602948493795405
B18,35,0.12005016850597261
B18,36,0.0026108990717069367
B18,33,0.5351098733987838
B18,34,0.0015204842244936204
B18,39,0.16768359960738435
B18,37,0.001094707421359699
B18,38,0.003392423586770789
B18,43,0.00788919418928844
B18,42,0.0024011969777942765
B18,41,7.699100311904419E-4
B18,40,0.5242308114181781
B18,22,0.004070195858080562
B18,23,0.001865456922422084
B18,24,0.0014533499758460078
B18,25,9.990393218970786E-4
B18,26,0.037623119087028485
B18,27,0.1608857485704379
B18,28,0.0023132160955852818
B18,29,0.00131775686413051
B18,3,0.9765641324424251
B18,2,0.0018090488678628974
B18,1,0.001556484602432928
B18,0,0.011111782377531042
B18,30,0.0016332772421506266
B18,7,0.006911320185961217
B18,6,8.580163489269995E-4
B18,32,8.715519848311092E-4
B18,5,7.897510243249436E-4
B18,31,0.07137881611076564
B18,4,0.11171929074713619
B18,9,0.0010803129921088256
B18,8,2.8177892902924486E-4
B18,19,0.0076345937956951195
B18,17,0.001161601409140615
B18,18,0.0010520680301560523
B18,15,0.003998627236429479
B18,16,0.0021565877441309116
B18,13,0.002999704702808239
B18,14,0.0013547769551767396
B18,11,0.03506618529591263
B18,12,7.035780069579747E-4
B18,21,0.0021161003821733976
B18,20,0.0011805087446776048
B18,49,0.04693640958138031
B18,48,0.009842734355671965
B18,45,0.005722442718239198
B18,44,0.0016234060353214458
B18,47,6.865177404019167E-4
B18,46,0.0010674788651592678
B18,10,0.001562879937324595
B09,35,0.001322400013176427
B09,36,0.009825805718896642
B09,33,0.0018077745101059042
B09,34,0.6882277825954074
B09,39,0.9326951821507972
B09,37,0.0017187702405395257
B09,38,0.02790483609474059
B09,43,0.024080548110750062
B09,42,0.004312757186838511
B09,41,5.032449347728099E-4
B09,40,0.14936697454059095
B09,22,0.003966715972164296
B09,23,0.00394756172634889
B09,24,0.0023241177940237392
B09,25,0.003965521336740518
B09,26,0.10022838533145098
B09,27,0.0035544042731014075
B09,28,8.381965755919297E-4
B09,29,9.061607422230658E-4
