silver-infovis-topics--userH.txt,lda_25_0.0001_0.01,Score
H21,12,0.001250493915187785
H21,21,0.029221414156589774
H21,20,0.0034764335916374557
H21,22,2.732326671414166E-4
H21,23,5.436596273586796E-4
H21,24,7.386500460623702E-4
H21,3,0.6883522047067552
H21,2,0.01901475366221762
H21,10,0.0014477594204522354
H21,1,0.0012299602202890242
H21,0,0.004913899646943122
H21,7,0.0025568139266771684
H21,6,0.004089349198019137
H21,5,0.001296344777533179
H21,4,6.032983124294632E-4
H21,9,0.5740403047467459
H21,8,0.0067956228333613975
H02,19,0.009731563393173739
H02,17,0.9629546619299624
H02,18,0.002487694901845788
H02,15,0.006993868221308822
H02,16,0.0016024712831897154
H02,13,0.0047241295110449465
H02,14,5.22829172140259E-4
H02,11,0.002196742950885077
H02,12,0.012135763851195342
H02,21,0.009444771021742567
H02,20,0.11231998914141136
H02,22,0.091138439936161
H02,23,0.008647730690794926
H02,24,0.0010627064023772264
H02,3,0.004003239047945157
H02,2,0.003026045292135061
H02,10,0.039267428684650545
H02,1,0.0018287610501757589
H02,0,0.580130355780106
H02,7,0.002846479102475458
H02,6,0.009911880625012368
H02,5,0.09527314085861889
H02,4,0.0015473285190139325
H02,9,0.008801131876324735
H02,8,0.07492069120351062
H11,19,0.0018903423646433799
H11,17,0.00351012341971199
H11,18,8.550568751415745E-5
H11,15,0.2634111380632945
H11,16,0.0012790433122099106
H11,13,0.010575587243516382
H11,14,6.990285161714301E-4
H11,11,0.003241062631507789
H11,12,0.004605038642792872
H11,21,0.002020351054117208
H11,20,0.08245724173011997
H11,22,0.001650648036128199
H11,23,6.623627699015604E-4
H11,24,0.001298936926522328
H11,3,0.0013509957221716931
H11,2,0.001059842237879776
H11,10,0.016039867597223124
H11,1,0.0017633502572021317
H11,0,0.0031336170887763058
H11,7,0.0028828257952973843
H11,6,0.002794994149092608
H11,5,0.006211446159149406
H11,4,8.07676329128144E-4
H11,9,0.004409129284205873
H11,8,0.30464129364562054
H20,19,0.0031233453884821094
H20,17,0.0024542233957314747
H20,18,0.006504495524143086
H20,15,0.003275133705580179
H20,16,0.06720214169384621
H20,13,0.005527338470507058
H20,14,0.0032328507220667434
H20,11,0.14781393056302788
H20,12,0.005084075046794435
H20,21,0.09128049018153528
H20,20,0.03542747971659766
H20,22,0.003013956081221452
H20,23,0.001117436725927465
H20,24,0.4248618924018119
H20,3,0.0016631086473298706
H20,2,0.02001466562971939
H20,10,0.037635223727082855
H20,1,0.002499935734100043
H20,0,0.0017638198364469066
H20,7,0.05012492759827015
H20,6,0.010364792674915146
H20,5,0.17724984462938506
H20,4,0.003951968565391268
H20,9,0.0034054449684852023
H20,8,0.04408164020438271
H03,19,0.03120538804223552
H03,17,0.0023364578211599028
H03,18,0.01876456135031835
H03,15,0.006165666710845157
H03,16,0.017164339006348436
