silver-infovis-topics--userD.txt,lda_50_0.01_0.1,Score
D18,37,0.0018429722862291628
D18,38,8.62699429605841E-4
D18,43,6.419722088029205E-4
D18,42,0.015758911668085056
D18,41,0.015243545867480748
D18,40,5.537274290276521E-4
D18,22,0.0017472700130973923
D18,23,0.21451865272339626
D18,24,0.004215571223713162
D18,25,0.059284417872504734
D18,26,0.015757351458643824
D18,27,0.08358133543773948
D18,28,0.002445977205142491
D18,29,0.03276278219972231
D18,3,0.003648921063778726
D18,2,7.803881292927675E-4
D18,1,4.5904402924280173E-4
D18,0,0.003374250862955096
D18,30,2.3330568632701836E-4
D18,7,0.001211938098583132
D18,6,0.07360197878005963
D18,32,0.009237655897618383
D18,5,0.003317628962558697
D18,31,0.0022709738675348147
D18,4,0.06685593439320384
D18,9,0.1416211426163006
D18,8,0.3566670008157777
D18,19,0.08249387493750779
D18,17,0.0077218587752991225
D18,18,0.05826157777772355
D18,15,8.074034489426344E-4
D18,16,0.06758287517301814
D18,13,0.0013793277822149084
D18,14,0.01487218111047528
D18,11,0.002731999356704182
D18,12,0.0013540446205392868
D18,21,0.0010560194682608633
D18,20,0.2457848044235321
D18,49,6.203926113158424E-4
D18,48,0.001109232181334165
D18,45,3.8163808488917984E-4
D18,44,0.007010202666693051
D18,47,0.15380027966458523
D18,46,0.002685036465998189
D18,10,0.0019619786382741662
D05,35,0.0017837974202883531
D05,36,0.00379848772181823
D05,33,6.311205045583395E-4
D05,34,0.05310254401951256
D05,39,0.0011976291943104004
D05,37,0.001288297230487948
D05,38,0.0014000394230572046
D05,43,0.0027225678865560395
D05,42,0.031091371488657052
D05,41,0.008446128698441809
D05,40,0.0013848000776977229
D05,22,0.004708841134998191
D05,23,0.004978283271666205
D05,24,0.4515269150945172
D05,25,0.0017781867570289245
D05,26,0.0016580328337284073
D05,27,0.0030481028142809873
D05,28,0.0011249110102986716
D05,29,0.0022241494618804375
D05,3,0.0010305661525770585
D05,2,0.0012918593224944433
D05,1,0.002742219547255908
D05,0,0.0015502532725265937
D05,30,3.1162753864490497E-4
D05,7,0.0011916248745965684
D05,6,0.002034427337839412
D05,32,0.035705705613280896
D05,5,0.0023821482011183374
D05,31,0.001803414761704587
D05,4,0.0011445254298077052
D05,9,0.037907928006689
D05,8,0.09631062752974362
D05,19,0.04694786995765595
D05,17,0.004887755529743831
D05,18,0.008510387270650958
D05,15,7.86273149691835E-4
D05,16,9.427678442644895E-4
D05,13,0.0011559033777180287
D05,14,4.36830868868748E-4
D05,11,0.0014277933545522557
D05,12,4.501023667075023E-4
D05,21,0.0013922115855979841
D05,20,0.002458066754396465
D05,49,5.909011027138242E-4
D05,48,0.0029272294158284072
D05,45,4.1100719877902093E-4
D05,44,9.469742066477403E-4
D05,47,9.183442170432208E-4
D05,46,6.880491395930352E-4
D05,10,0.0014644333490588166
D17,35,0.07104072396479119
D17,36,0.06811831694084582
D17,33,5.842021086476614E-4
D17,34,0.01057846417180689
D17,39,0.0014317104512216036
D17,37,0.01200819794524365
D17,38,0.025785225020170062
D17,43,0.004106330123991433
D17,42,0.15487425989190962
D17,41,0.10816954835493169
D17,40,0.0012584566098760637
D17,22,0.0014177916882439701
D17,23,8.207127679842474E-4
D17,24,0.0016884706524113592
D17,25,0.09344023657004477
D17,26,0.0025367988928179344
D17,27,0.0016746074823669672
D17,28,0.0028942210383161716
D17,29,6.348199842640703E-4
D17,3,0.041190360599687906
D17,2,8.948137343880685E-4
D17,1,0.009793550010194376
D17,0,0.027476656847855434
D17,30,3.1337617813674155E-4
D17,7,5.532943992368279E-4
D17,6,4.6542162709577373E-4
D17,32,0.002343874193621134
D17,5,0.004627183325604089
D17,31,0.0019750791125083553
D17,4,0.0016546734779990001
D17,9,0.0011903008287496935
D17,8,0.0058020579372157375
D17,19,0.0035588172431078595
D17,17,2.127399086464992E-4
D17,18,0.006810789972924368
D17,15,0.0015698844892074364
D17,16,0.0017316524514987821
D17,13,5.770220331687991E-4
D17,14,0.0010108541429424275
D17,11,0.0019167226244862477
D17,12,9.088773403228637E-4
D17,21,0.14448544002953012
D17,20,0.17582441843180277
D17,49,0.026164055986958586
D17,48,6.615428990073327E-4
D17,45,5.432921366756099E-4
D17,44,4.400228566461622E-4
D17,47,0.0013946663356946087
D17,46,0.001068258502402988
D17,10,0.0021783988929047773
D04,35,0.0021051260058136748
D04,36,0.002567713325550098
D04,33,0.11786936959904086
D04,34,5.580699412850656E-4
D04,39,0.0019701693835554104
D04,37,0.4860415420165372
D04,38,0.022470156741081517
D04,43,0.09147136532147347
D04,42,0.008400673100268879
D04,41,0.0035253993107636763
D04,40,0.002056873526033211
D04,22,0.024632916527152566
D04,23,0.0015203389097078678
D04,24,0.001134969322774876
D04,25,0.0012558026802651544
D04,26,0.11612348456348638
D04,27,0.7990790372327655
D04,28,0.0017535529673009878
D04,29,3.177537929473041E-4
D04,3,6.671051768381672E-4
D04,2,0.0030498412939252858
D04,1,6.63077003826224E-4
D04,0,0.002488291498729322
D04,30,0.001563894880548536
D04,7,0.00124166930741418
D04,6,2.2965643127126963E-4
D04,32,0.12162654874644256
D04,5,0.0027509988231521052
D04,31,0.18134860675730577
D04,4,0.5775389348371242
D04,9,3.668859074739955E-4
D04,8,0.002302005320336242
D04,19,0.0014695822873290096
D04,17,9.789182982453395E-4
D04,18,0.0015505641887720357
D04,15,0.8755800922741195
D04,16,0.0014998241567900608
D04,13,0.5246364755352587
D04,14,0.006234698163252348
D04,11,0.0011726251275477693
D04,12,3.152720999112856E-4
D04,21,0.0014224778975857769
D04,20,0.001816742304095469
D04,49,0.003387457713686716
D04,48,0.0012724747260046613
D04,45,8.238472662253603E-4
D04,44,5.132917600049752E-4
D04,47,0.018580977988155396
D04,46,0.012520518203985613
D04,10,0.02131498262633239
D03,35,0.12794418825193246
D03,36,8.049528676812118E-4
D03,33,8.998380611535692E-4
D03,34,0.21166845488766148
D03,39,0.004712363039255675
D03,37,0.525136727437039
D03,38,0.007744640303083762
D03,43,0.00862622703407535
D03,42,0.15676127473534443
D03,41,0.13945826063722672
D03,40,0.002601592140936751
D03,22,0.002945742508687411
D03,23,0.08402666061013801
D03,24,0.6957490433940653
D03,25,0.12210453156869126
D03,26,0.01363547216444061
D03,27,0.0027717481149936475
