silver-infovis-topics--userC.txt,lda_35_0.001_0.0001,Score
C06,34,0.046993481060548944
C06,16,0.08639536835199552
C06,13,0.0013290204590335965
C06,14,0.00946256012584327
C06,11,0.0031237174243370475
C06,12,4.1744790052890355E-4
C06,21,0.004003647105853532
C06,20,0.0020264103241877805
C06,22,0.012607757467865952
C06,23,0.0032568164647648877
C06,24,0.0013408129224410617
C06,25,0.0028916825158722564
C06,26,9.313358289178154E-4
C06,27,0.0015417445634323239
C06,28,0.832998430732272
C06,29,0.0011095048289838437
C06,3,0.0013478809810738538
C06,2,0.004369288209796983
C06,10,0.0013636267004943424
C06,1,0.28646752561801964
C06,0,0.046551544134364346
C06,7,0.0028589079051014226
C06,30,0.8786317819352659
C06,6,0.0047554788691031025
C06,5,0.003251200127556943
C06,32,0.002194364773804003
C06,4,7.750937069166506E-4
C06,31,0.06818101921926202
C06,9,0.0013022239000426764
C06,8,0.5482908320474124
C09,19,0.02044101097034094
C09,17,0.0019435176137836605
C09,18,0.002069742994197381
C09,33,0.0018064731252158677
C09,15,0.12772961223354812
C09,34,0.004044126040142903
C09,16,4.2100174752738125E-4
C09,13,5.769016632642934E-4
C09,14,0.0029059600685508095
C09,11,0.0022535813845842136
C09,12,0.0018237426749445997
C09,21,0.0029466087444802733
C09,20,8.375091505084903E-4
C09,22,0.0016970851908614576
C09,23,0.005673350444093877
C09,24,0.002194686562506832
C09,25,0.003855682117317443
C09,26,0.0015251895011991568
C09,27,0.00186873169659961
C09,28,0.07561800310666089
C09,29,0.010936590157245067
C09,3,0.33793663261519097
C09,2,0.004099893260676885
C09,10,0.0020874969301348783
C09,1,0.9789436073989264
C09,0,0.056059991362640706
C09,7,0.004167209174271001
C09,30,4.294711120441896E-4
C09,6,0.0014267154176519407
C09,5,0.05864320892108212
C09,32,0.0018794306190737695
C09,4,9.754565804599319E-4
C09,31,0.0032835187969578673
C09,9,0.0016273870049923359
C09,8,0.0016148751531248836
C10,19,0.005758410944831277
C10,17,0.0022955666917966622
C10,18,0.23828888958276534
C10,33,0.0018705232317574394
C10,15,0.0026525335036333823
C10,34,0.0032164630499350523
C10,16,3.807189627660457E-4
C10,13,0.0014550650095422053
C10,14,0.00843294272330781
C10,11,0.0021160992068770365
C10,12,0.0015825008098626244
C10,21,0.0040842988573521755
C10,20,0.21112530845785413
C10,22,0.011738640045056776
C10,23,0.0018064437857602275
C10,24,0.0019477288492598663
C10,25,0.004284801395511334
C10,26,7.417525835233773E-4
C10,27,0.30548650556087464
C10,28,0.0031212983765008862
C10,29,0.009198230653847896
C10,3,0.02819523409590144
C10,2,5.456103161946845E-4
C10,10,0.0014520152802243792
C10,1,0.003173209660836181
C10,0,0.2696516994903332
C10,7,0.0014850793314832437
C10,30,0.004055661283139118
C10,6,0.3086848669249042
C10,5,0.30296106268204115
C10,32,0.40452417260207013
C10,4,0.6871948185819717
C10,31,0.002023410816861292
C10,9,6.98288597937138E-4
C10,8,0.2226245490786862
C11,19,0.028379159843388402
C11,17,0.0027330967184713024
C11,18,0.004635172766138657
C11,33,0.003478972353081934
C11,15,0.005643359814927949
C11,34,0.004758217491014464
C11,16,0.41065370674259977
C11,13,0.0033468863587867493
C11,14,0.010109294539493361
C11,11,0.008157200850117938
C11,12,0.008528268446585167
C11,21,0.10569129749882879
C11,20,0.005564009989790334
C11,22,0.00905633959314945
C11,23,0.005103192882077427
C11,24,0.0034607008253604646
C11,25,0.02683122123215431
C11,26,0.5196944786077656
C11,27,0.0037555217775303118
C11,28,0.004276342631821924
C11,29,0.5225119742169204
C11,3,0.004280572367002111
C11,2,0.08749096947953137
C11,10,0.005035578131533056
C11,1,0.011697154919334679
C11,0,0.01140808301651554
C11,7,0.0016143707925402155
C11,30,0.23856378186180272
C11,6,0.0032872764954090476
C11,5,0.0024698004848386504
C11,32,0.005109324240513712
C11,4,0.04006122887830693
C11,31,0.0013301257559658526
C11,9,0.8097803449285907
C11,8,0.0018527519501917613
C03,19,0.034215488268574144
C03,17,0.002898426516918139
C03,18,0.3080759991503668
C03,33,0.002392854904835191
C03,15,0.0449822035329281
C03,34,0.024554646152610948
C03,16,0.9857915746179483
C03,13,0.0720468321658102
C03,14,0.03563158320172539
C03,11,0.005698330246193517
C03,12,0.007079621880398235
C03,21,0.004069394755559799
C03,20,0.01198148652336481
C03,22,0.002628131948582177
C03,23,0.003313494207234395
C03,24,0.0030873702509653066
C03,25,6.318806575812638E-4
C03,26,0.6262990409272443
C03,27,0.0014234077680772498
C03,28,0.4587139759917916
C03,29,0.005744745679043324
C03,3,8.690267606132867E-4
C03,2,0.023303681058772396
C03,10,0.0032830588626324283
C03,1,0.0013135342303492341
C03,0,9.394187899236454E-4
C03,7,8.888773690593191E-4
C03,30,0.40470369002592044
C03,6,0.0014690611655215592
C03,5,0.79199211818159
C03,32,0.0018559223305958765
C03,4,0.003977669724744308
C03,31,0.06447006785428461
C03,9,0.4525520085928231
C03,8,0.00208285089583703
C12,19,0.0015653412457571378
C12,17,0.0017438990804883947
C12,18,0.004177648119597096
C12,33,0.0010951867179613583
C12,15,0.09487330121217105
C12,34,0.014216006972128454
C12,16,7.922471946279212E-4
C12,13,5.680471107620473E-4
C12,14,0.06274519133336323
C12,11,7.497153511490971E-4
C12,12,0.001176128952588669
C12,21,0.0013980358521252804
C12,20,0.0018184253300440874
C12,22,0.0011347332961776262
C12,23,0.09560637629251804
C12,24,0.00179983417959787
C12,25,3.193829244268894E-4
C12,26,9.07753829139916E-4
C12,27,0.06273724298002795
C12,28,6.389908426210289E-4
C12,29,0.3655081573930272
C12,3,3.730072474699732E-4
C12,2,5.24827732739304E-4
C12,10,0.14734504323548578
C12,1,9.267749388698525E-4
C12,0,0.0014379151175259953
C12,7,6.201084008769757E-4
C12,30,0.005852309403023186
C12,6,0.01126626106747619
C12,5,0.00122467957757566
C12,32,0.12032014834466205
C12,4,0.001087635007590528
C12,31,0.38795452656262597
C12,9,8.907838951997586E-4
C12,8,0.0017732177591662146
C04,19,0.03507786801561861
C04,17,0.004825698312728633
C04,18,0.38119279889359053
C04,33,0.002792297638359105
C04,15,0.00396395198483284
C04,34,0.07456720152734798
C04,16,0.9304580748317374
C04,13,0.0015191365845454133
C04,14,0.013174812246956253
C04,11,0.005647386173130908
C04,12,0.06917830602048307
C04,21,0.010998661682595839
C04,20,0.21290457265194634
C04,22,0.33557416574899107
C04,23,0.02157700228451053
C04,24,0.0030624686036120467
C04,25,0.005063311258158317
C04,26,0.0037174952766219245
C04,27,0.006761199781578276
C04,28,0.005743278374499888
C04,29,0.00528238495205313
C04,3,0.0029564950372891904
C04,2,0.020798587056934093
C04,10,0.001713356353383127
C04,1,0.007505418379749529
C04,0,0.2606740271511343
C04,7,0.003429331953787017
C04,30,0.6444308735625169
C04,6,0.0034482534476423282
C04,5,0.8392243986784695
C04,32,0.003047976535079758
C04,4,0.0037790812757024983
C04,31,0.12877108307108584
C04,9,0.0018108224561537661
C04,8,0.006310306279524745
C13,19,0.0013723837975040765
C13,17,0.07480879820086599
C13,18,0.14302870811189958
C13,33,0.0012483817845109762
C13,15,0.1360854154817425
C13,34,0.0017366778553538568
C13,16,1.3829845900946853E-4
C13,13,0.001206385444659119
C13,14,0.08363605858052421
C13,11,0.0012339663937282603
C13,12,3.5804418597556466E-4
C13,21,0.5105005755746125
C13,20,0.001713368605654396
C13,22,0.20638457413842454
C13,23,0.0019444849764226081
C13,24,0.002469309899730623
C13,25,3.3973497486962476E-4
C13,26,0.015922507987759845
C13,27,0.0010179888183097527
C13,28,0.03430838784239414
C13,29,0.07000225848481169
C13,3,0.0016176741307305346
C13,2,0.0035012508180069573
