silver-infovis-topics--userG.txt,lda_50_0.0001_0.1,Score
G14,4,0.028441653732985628
G14,9,0.002273682280716738
G14,8,5.7375418557212E-4
G14,19,0.006465868988028765
G14,17,7.579966895289799E-4
G14,18,0.0013470488853992845
G14,15,0.012779211127488725
G14,16,0.0010796577964573035
G14,13,0.02876354442235822
G14,14,0.1777312524397024
G14,11,0.0015129164605158423
G14,12,0.0977209253458149
G14,21,0.005661266177193797
G14,20,0.00892249849421333
G14,49,0.011038007750320543
G14,48,0.0019123801006535291
G14,45,3.8192373480018933E-4
G14,44,0.006674697718167298
G14,47,8.55589402939757E-4
G14,46,0.02280616053726762
G14,10,0.11491139434942785
G01,35,1.0006364298473736E-4
G01,36,0.009285095751552435
G01,33,8.336771977896576E-4
G01,34,9.241556574435476E-4
G01,39,6.101627583068065E-4
G01,37,0.0012047238588101241
G01,38,0.0012470286218261755
G01,43,6.965888079323582E-4
G01,42,7.498693747334166E-4
G01,41,8.029678081556222E-4
G01,40,8.324438079566643E-5
G01,22,0.1701800906852662
G01,23,3.5960919540635727E-4
G01,24,5.63733047419669E-4
G01,25,5.418053723356062E-4
G01,26,2.495973139791387E-4
G01,27,3.5989375098624483E-4
G01,28,4.0767086639609127E-4
G01,29,9.121681303495653E-4
G01,3,0.00148685847344115
G01,2,3.7800497386373904E-4
G01,1,2.798061419462852E-4
G01,0,0.04063406620022941
G01,30,0.001737173901449556
G01,7,5.268881629603373E-4
G01,6,8.391619129716039E-4
G01,32,3.1085034055209646E-5
G01,5,0.0017043709635911996
G01,31,0.0032821715324199913
G01,4,7.354799998861916E-4
G01,9,0.001917001241403244
G01,8,1.9721708269110835E-4
G01,19,6.126157036055399E-4
G01,17,0.001692581198163425
G01,18,1.9584112959042038E-4
G01,15,8.548378405540729E-4
G01,16,6.991596976220439E-4
G01,13,0.0011842063499075022
G01,14,0.025901610025349898
G01,11,7.945802247225857E-4
G01,12,0.010807413891450063
G01,21,5.750663453739372E-4
G01,20,0.003022911176853698
G01,49,0.0034512364084897146
G01,48,0.00343290482953387
G01,45,9.482516651871558E-5
G01,44,3.4034847898691375E-4
G01,47,0.001201007779049167
G01,46,0.0041122288343158845
G01,10,3.055802442528739E-4
G04,35,2.053801370776553E-4
G04,36,0.09647206760556497
G04,33,0.001452088479364509
G04,34,0.0019317835283213613
G04,39,9.602986460664188E-4
G04,37,0.04682029241307238
G04,38,0.0011668528200589096
G04,43,0.39895197160283546
G04,42,0.016590307136503637
G04,41,0.007757963349595143
G04,40,0.050488940200862885
G04,22,0.007250631570498712
G04,23,6.399777720004451E-4
G04,24,7.315877909609929E-4
G04,25,0.07413539877710942
G04,26,0.010416352850344987
G04,27,7.388258925265926E-4
G04,28,0.0010939546276076523
G04,29,0.006049602023128788
G04,3,0.002572526978086082
G04,2,0.0011247032856618454
G04,1,4.3208769104730125E-4
G04,0,7.428029825421618E-4
G04,30,0.002328489022269795
G04,7,9.970139777157698E-4
G04,6,0.024732328051666506
G04,32,0.0011376116798364128
G04,5,0.0019239318354197625
G04,31,0.05124367586267285
G04,4,9.782871818862537E-4
G04,9,0.025938278959392675
G04,8,0.18289380102586192
G04,19,7.938385417540796E-4
G04,17,5.887703463865169E-4
G04,18,0.0014221457196556834
G04,15,9.265247258944313E-4
G04,16,0.001438408044899994
G04,13,0.07944886246900164
G04,14,0.0016249831430788582
G04,11,5.083522039406172E-4
G04,12,0.040565101094885155
G04,21,0.004139334676672015
G04,20,0.039015860690576505
G04,49,1.7237103526764614E-4
G04,48,0.007442372160741976
