silver-infovis-topics--userI.txt,lda_35_0.1_0.01,Score
I11,9,0.002574043179682865
I11,8,0.022785858407174012
I21,19,0.0022488550064796186
I21,17,0.0035355146385544845
I21,18,2.468632607657352E-4
I21,33,1.235203909751255E-4
I21,15,0.0035123652566342095
I21,34,0.08655782275619159
I21,16,0.07805697331119253
I21,13,0.2479894395823175
I21,14,0.0020102019272931586
I21,11,8.925933667568786E-4
I21,12,0.005681658242847537
I21,21,0.0015847483085559765
I21,20,0.0160396529446656
I21,22,0.0012726070276879962
I21,23,0.001000185609539055
I21,24,0.0012419746502915353
I21,25,0.003448723586230029
I21,26,0.023465130137411094
I21,27,0.017056382127166283
I21,28,0.009643999815514767
I21,29,0.2643996716756488
I21,3,0.02688869962299921
I21,2,0.0018395822697954306
I21,10,0.14639238490013037
I21,1,5.624800395711975E-4
I21,0,0.03230566101758113
I21,7,0.004419219138060092
I21,30,0.0037877846253210204
I21,6,0.001724326818692324
I21,5,0.004017302723946774
I21,32,0.001343087820145468
I21,4,0.010159293813385633
I21,31,0.001405089354526156
I21,9,0.005136735218297355
I21,8,0.2215914462804742
I16,19,0.013976265917633807
I16,17,0.012630582599829278
I16,18,0.004122470152671446
I16,33,5.649645322648229E-4
I16,15,0.007244556536395634
I16,34,0.4067475429624124
I16,16,0.004199578461152024
I16,13,0.006222001115035134
I16,14,0.003133855683178858
I16,11,0.22766473528812736
I16,12,0.0015772334428483022
I16,21,0.04600557141229755
I16,20,7.156180821322657E-4
I16,22,0.004867901987368101
I16,23,0.03319761011590857
I16,24,0.002070123307190812
I16,25,0.4377308513365551
I16,26,0.02143839644009096
I16,27,0.005506042914219973
I16,28,0.022784518227893638
I16,29,0.0194470840649729
I16,3,0.13455274027443362
I16,2,0.004775611382507478
I16,10,0.0033039983914795357
I16,1,0.049815027913108816
I16,0,0.011667841255545418
I16,7,0.002251711298913626
I16,30,0.00112813844113732
I16,6,0.026411064390840792
I16,5,0.009625391679690565
I16,32,0.0020091251393354877
I16,4,0.1032037911078552
I16,31,0.026066262179261487
I16,9,0.005690221752918053
I16,8,0.05367819036455885
I03,19,0.0014014748408044317
I03,17,0.02689677692188631
I03,18,4.186795188861722E-4
I03,33,7.94108650512746E-5
I03,15,0.0050656911805186024
I03,34,0.08345226479647067
I03,16,0.13450890347082933
I03,13,0.0020983496424056966
I03,14,0.006564457963946878
I03,11,0.00159902570008698
I03,12,0.0019311417013032734
I03,21,0.010699356789060935
I03,20,6.716530994514479E-4
I03,22,0.005438352909744
I03,23,0.00155198789832813
I03,24,0.004691684141187521
I03,25,6.538781142789212E-4
I03,26,0.0012951472019903842
I03,27,0.0014517189504981592
I03,28,0.008478256369509427
I03,29,0.15127495706775607
I03,3,0.14960973015985396
I03,2,0.002509983391431802
I03,10,0.001893427905797451
I03,1,7.073034892170157E-4
I03,0,0.13522240907424185
I03,7,0.0015806608763495806
I03,30,0.0010005814301356894
I03,6,0.002260127028326622
I03,5,0.011256945020520744
I03,32,0.013528684502407603
I03,4,0.0019651816975430657
I03,31,0.0015817418930372566
I03,9,0.004502575681171359
I03,8,0.0018904955919010846
I17,19,0.41792206709441404
I17,17,7.860693837772912E-4
I17,18,0.0051103585722842735
I17,33,0.001665699240866226
I17,15,0.0019293450196550494
I17,34,3.7761869822637296E-4
I17,16,0.002754228382327921
I17,13,0.001674917043020324
I17,14,0.0014600482232975007
I17,11,2.585551636226214E-4
I17,12,0.001016941484356453
I17,21,0.0035880636210794395
I17,20,7.134513824995784E-4
I17,22,4.348600916898533E-4
I17,23,0.00948874039446017
I17,24,5.349874359134485E-4
I17,25,0.051725616765315
I17,26,0.0028285788531239907
I17,27,0.0016373778815307568
I17,28,1.8904602273240608E-4
I17,29,4.5965178831499086E-4
I17,3,0.00165670032112826
I17,2,0.011852007675531856
I17,10,0.022389011824410533
I17,1,2.524435268716703E-4
I17,0,0.003061128852101448
I17,7,0.0013325853580200854
I17,30,9.323724102617904E-4
I17,6,4.2179108990826586E-4
I17,5,5.21091100265884E-4
I17,32,0.0012277326237843818
I17,4,0.006397676509371325
I17,31,0.0013998311205384731
I17,9,8.862523730762368E-4
I17,8,0.005452899865500781
I04,19,0.002329474367784407
I04,17,0.1473173078871279
I04,18,0.01582815082319695
I04,33,0.008485452758188735
I04,15,0.11309288747177759
I04,34,0.0032357524775261165
I04,16,0.001855564445340794
I04,13,0.09807315848651048
I04,14,0.003211465370115263
I04,11,0.04144534206717232
I04,12,0.022291876978760523
I04,21,0.014141775485829698
I04,20,0.0032213653702995704
I04,22,8.135448437412425E-4
I04,23,0.004097779020447165
I04,24,0.0043600309308167145
I04,25,0.3548686717556302
I04,26,0.2051219204692661
I04,27,0.06387343019042523
I04,28,0.004923222083266036
I04,29,7.9972934808463E-4
I04,3,0.004193386649027642
I04,2,0.0015642077685432629
I04,10,0.008233459527944577
I04,1,0.01424703133398589
I04,0,0.005616784392375972
I04,7,0.015451979539167266
I04,30,0.017908000800323315
I04,6,0.0027468538428996334
I04,5,0.015620129122654708
I04,32,0.001446824411157901
I04,4,0.05124368437275657
I04,31,0.03421454573176207
I04,9,0.010676552420230974
I04,8,0.023005424045698098
I14,19,0.0015763881114727026
I14,17,0.0058301866265445985
I14,18,0.0024968231205961026
I14,33,0.0016137160098351028
I14,15,0.0011938794158865209
I14,34,0.006469808874770772
I14,16,0.0012388955754613648
I14,13,0.0015622628958070536
I14,14,4.641186107886952E-4
I14,11,0.0013767227927798374
I14,12,0.005740288357224403
I14,21,0.001021921558665867
I14,20,0.001136929415325463
I14,22,0.020855298553205358
I14,23,7.274193075809677E-4
I14,24,6.7663723884858E-4
I14,25,0.004739056578799444
I14,26,0.0012758343895119127
I14,27,0.0027505994288520687
I14,28,6.137182810104605E-4
